year,period,channel,product_line,policies_in_force,new_policies,renewal_rate,gross_written_premium,claims_reported,claims_paid,avg_claim_settlement_days,nps,complaints,fraud_cases,compliance_incidents,operating_expenses,digital_adoption_pct
2020,M01,direct,auto,7702,900,81.7,1069,53,50,10.1,31,2,1,0,320,18.9
2020,M02,direct,auto,8235,980,81.7,1097,58,55,10.1,31,2,1,0,328,18.9
2020,M03,direct,auto,9812,1154,81.7,1226,68,64,10.1,31,2,1,0,367,18.9
2020,M04,direct,auto,8489,999,81.7,1101,59,56,10.1,31,2,1,0,329,18.9
2020,M05,direct,auto,9190,1083,81.7,1169,64,61,10.1,31,2,1,0,350,18.9
2020,M06,direct,auto,9347,1121,81.7,1230,66,63,10.1,31,2,1,0,368,18.9
2020,M07,direct,auto,8305,991,81.7,1116,59,56,10.1,31,2,1,0,334,18.9
2020,M08,direct,auto,8886,1055,81.7,1200,62,59,10.1,31,2,1,1,359,18.9
2020,M09,direct,auto,11041,1298,81.7,1336,77,73,10.1,31,3,1,0,400,18.9
2020,M10,direct,auto,11375,1327,81.7,1406,79,75,10.1,31,3,1,0,420,18.9
2020,M11,direct,auto,10964,1284,81.7,1485,76,72,10.1,31,2,1,0,444,18.9
2020,M12,direct,auto,12149,1420,81.7,1627,84,80,10.1,31,3,1,0,487,18.9
2020,Q1,direct,auto,26162,3034,81.7,3392,180,171,10.1,31,6,3,0,1014,18.9
2020,Q2,direct,auto,27512,3203,81.7,3500,190,180,10.1,31,6,3,0,1047,18.9
2020,Q3,direct,auto,27954,3344,81.7,3652,198,188,10.1,31,6,3,1,1092,18.9
2020,Q4,direct,auto,34867,4031,81.7,4518,239,227,10.1,31,8,3,0,1351,18.9
2020,FY,direct,auto,117293,13612,81.7,15062,806,764,10.1,31,26,12,1,4504,18.9
2020,M01,direct,home,10964,1279,81.5,715,27,26,17.7,31,1,0,0,214,18.9
2020,M02,direct,home,11239,1328,81.5,742,28,27,17.7,31,1,0,0,222,18.9
2020,M03,direct,home,12399,1441,81.5,837,31,29,17.7,31,1,0,0,250,18.9
2020,M04,direct,home,10752,1250,81.5,752,27,26,17.7,31,1,0,0,225,18.9
2020,M05,direct,home,12462,1440,81.5,810,31,29,17.7,31,1,0,0,242,18.9
2020,M06,direct,home,11918,1423,81.5,828,30,28,17.7,31,1,0,0,248,18.9
2020,M07,direct,home,10632,1236,81.5,784,26,25,17.7,31,1,0,0,234,18.9
2020,M08,direct,home,11215,1339,81.5,791,29,27,17.7,31,1,0,1,237,18.9
2020,M09,direct,home,12983,1528,81.5,888,33,31,17.7,31,1,0,0,266,18.9
2020,M10,direct,home,12492,1478,81.5,911,31,29,17.7,31,1,0,0,272,18.9
2020,M11,direct,home,13504,1562,81.5,1015,33,31,17.7,31,1,0,0,304,18.9
2020,M12,direct,home,15370,1787,81.5,1096,38,36,17.7,31,1,1,0,328,18.9
2020,Q1,direct,home,35078,4048,81.5,2294,86,82,17.7,31,3,1,0,686,18.9
2020,Q2,direct,home,35286,4113,81.5,2390,88,83,17.7,31,3,1,0,715,18.9
2020,Q3,direct,home,35219,4103,81.5,2463,87,82,17.7,31,3,1,1,737,18.9
2020,Q4,direct,home,40438,4827,81.5,3022,103,98,17.7,31,3,1,0,904,18.9
2020,FY,direct,home,143502,17091,81.5,10169,364,345,17.7,31,12,5,1,3041,18.9
2020,M01,direct,life,5689,666,82.8,1395,5,5,39.7,31,0,0,0,417,18.9
2020,M02,direct,life,5280,632,82.8,1420,5,5,39.7,31,0,0,0,425,18.9
2020,M03,direct,life,6189,733,82.8,1582,6,6,39.7,31,0,0,0,473,18.9
2020,M04,direct,life,5821,678,82.8,1472,5,5,39.7,31,0,0,0,440,18.9
2020,M05,direct,life,6123,724,82.8,1520,5,5,39.7,31,0,0,0,455,18.9
2020,M06,direct,life,6537,773,82.8,1658,6,6,39.7,31,0,0,0,496,18.9
2020,M07,direct,life,6094,714,82.8,1516,5,5,39.7,31,0,0,0,453,18.9
2020,M08,direct,life,6180,736,82.8,1562,6,6,39.7,31,0,0,0,467,18.9
2020,M09,direct,life,6628,765,82.8,1814,6,6,39.7,31,0,0,0,542,18.9
2020,M10,direct,life,6297,751,82.8,1761,6,6,39.7,31,0,0,1,527,18.9
2020,M11,direct,life,7321,853,82.8,1965,6,6,39.7,31,0,0,0,588,18.9
2020,M12,direct,life,8116,950,82.8,2124,7,7,39.7,31,0,0,0,635,18.9
2020,Q1,direct,life,17184,2031,82.8,4397,15,14,39.7,31,0,0,0,1315,18.9
2020,Q2,direct,life,18441,2175,82.8,4650,16,15,39.7,31,1,0,0,1390,18.9
2020,Q3,direct,life,19065,2215,82.8,4892,17,16,39.7,31,1,0,0,1463,18.9
2020,Q4,direct,life,21461,2554,82.8,5850,19,18,39.7,31,1,0,1,1749,18.9
2020,FY,direct,life,74782,8975,82.8,19789,68,64,39.7,31,2,1,1,5918,18.9
2020,M01,direct,health,5692,667,79.1,962,62,59,11.7,31,2,1,0,288,18.9
2020,M02,direct,health,6359,752,79.1,1005,70,66,11.7,31,2,1,0,301,18.9
2020,M03,direct,health,6217,734,79.1,1100,68,64,11.7,31,2,1,0,329,18.9
2020,M04,direct,health,6525,765,79.1,1003,71,67,11.7,31,2,1,1,300,18.9
2020,M05,direct,health,6169,737,79.1,1029,68,64,11.7,31,2,1,0,308,18.9
2020,M06,direct,health,6580,788,79.1,1117,73,69,11.7,31,2,1,0,334,18.9
2020,M07,direct,health,6180,723,79.1,1051,67,64,11.7,31,2,1,0,314,18.9
2020,M08,direct,health,6165,738,79.1,1068,69,65,11.7,31,2,1,0,319,18.9
2020,M09,direct,health,7475,879,79.1,1208,82,78,11.7,31,3,1,0,361,18.9
2020,M10,direct,health,7403,864,79.1,1271,80,76,11.7,31,3,1,0,380,18.9
2020,M11,direct,health,7657,913,79.1,1296,85,81,11.7,31,3,1,0,388,18.9
2020,M12,direct,health,7802,936,79.1,1397,87,82,11.7,31,3,1,0,418,18.9
2020,Q1,direct,health,18220,2153,79.1,3067,200,190,11.7,31,7,3,0,917,18.9
2020,Q2,direct,health,19115,2290,79.1,3149,213,202,11.7,31,7,3,1,942,18.9
2020,Q3,direct,health,20127,2340,79.1,3327,217,206,11.7,31,7,3,0,995,18.9
2020,Q4,direct,health,22985,2713,79.1,3964,252,239,11.7,31,8,4,0,1185,18.9
2020,FY,direct,health,81922,9496,79.1,13507,882,836,11.7,31,29,13,1,4039,18.9
2020,M01,direct,commercial,2323,272,79.6,786,10,9,26.0,31,0,0,1,235,18.9
2020,M02,direct,commercial,2345,274,79.6,840,10,9,26.0,31,0,0,0,251,18.9
2020,M03,direct,commercial,2816,326,79.6,933,12,11,26.0,31,0,0,0,279,18.9
2020,M04,direct,commercial,2175,256,79.6,813,9,9,26.0,31,0,0,0,243,18.9
2020,M05,direct,commercial,2430,286,79.6,865,10,9,26.0,31,0,0,0,259,18.9
2020,M06,direct,commercial,2761,319,79.6,979,11,10,26.0,31,0,0,0,293,18.9
2020,M07,direct,commercial,2220,266,79.6,817,10,9,26.0,31,0,0,0,244,18.9
2020,M08,direct,commercial,2386,284,79.6,881,10,9,26.0,31,0,0,0,263,18.9
2020,M09,direct,commercial,2951,346,79.6,991,12,11,26.0,31,0,0,0,296,18.9
2020,M10,direct,commercial,3064,360,79.6,1023,13,12,26.0,31,0,0,0,306,18.9
2020,M11,direct,commercial,3008,347,79.6,1129,12,11,26.0,31,0,0,0,338,18.9
2020,M12,direct,commercial,3412,404,79.6,1170,15,14,26.0,31,0,0,0,350,18.9
2020,Q1,direct,commercial,7426,872,79.6,2559,31,29,26.0,31,1,0,1,765,18.9
2020,Q2,direct,commercial,7455,861,79.6,2657,31,29,26.0,31,1,0,0,795,18.9
2020,Q3,direct,commercial,7602,896,79.6,2689,32,30,26.0,31,1,0,0,804,18.9
2020,Q4,direct,commercial,9332,1111,79.6,3322,40,38,26.0,31,1,1,0,993,18.9
2020,FY,direct,commercial,31177,3740,79.6,11227,135,128,26.0,31,4,2,1,3357,18.9
2020,M01,broker,auto,7241,850,77.0,1001,50,47,10.1,25,2,1,0,299,8.4
2020,M02,broker,auto,7977,952,77.0,1030,56,53,10.1,25,2,1,0,308,8.4
2020,M03,broker,auto,8674,1006,77.0,1190,60,57,10.1,25,2,1,0,356,8.4
2020,M04,broker,auto,7699,908,77.0,1035,54,51,10.1,25,2,1,2,309,8.4
2020,M05,broker,auto,8904,1049,77.0,1104,62,59,10.1,25,2,1,0,330,8.4
2020,M06,broker,auto,9301,1080,77.0,1240,64,61,10.1,25,2,1,0,371,8.4
2020,M07,broker,auto,7683,919,77.0,1049,54,51,10.1,25,2,1,0,314,8.4
2020,M08,broker,auto,9612,1127,77.0,1162,67,64,10.1,25,2,1,0,347,8.4
2020,M09,broker,auto,9509,1124,77.0,1248,67,64,10.1,25,2,1,0,373,8.4
2020,M10,broker,auto,10273,1209,77.0,1305,72,68,10.1,25,2,1,0,390,8.4
2020,M11,broker,auto,10343,1217,77.0,1390,72,68,10.1,25,2,1,0,416,8.4
2020,M12,broker,auto,11678,1359,77.0,1550,80,76,10.1,25,3,1,0,463,8.4
2020,Q1,broker,auto,24027,2808,77.0,3221,166,157,10.1,25,5,2,0,963,8.4
2020,Q2,broker,auto,25957,3037,77.0,3379,180,171,10.1,25,6,3,2,1010,8.4
2020,Q3,broker,auto,27431,3170,77.0,3459,188,178,10.1,25,6,3,0,1034,8.4
2020,Q4,broker,auto,31657,3785,77.0,4245,224,212,10.1,25,7,3,0,1269,8.4
2020,FY,broker,auto,109452,12800,77.0,14304,758,719,10.1,25,25,11,2,4277,8.4
2020,M01,broker,home,8905,1040,77.8,674,22,21,17.7,25,1,0,0,202,8.4
2020,M02,broker,home,10050,1193,77.8,694,25,24,17.7,25,1,0,0,208,8.4
2020,M03,broker,home,11653,1356,77.8,788,29,27,17.7,25,1,0,0,236,8.4
2020,M04,broker,home,9436,1107,77.8,697,24,23,17.7,25,1,0,0,208,8.4
2020,M05,broker,home,10018,1165,77.8,756,25,24,17.7,25,1,0,0,226,8.4
2020,M06,broker,home,11573,1358,77.8,810,29,27,17.7,25,1,0,0,242,8.4
2020,M07,broker,home,10342,1238,77.8,698,26,25,17.7,25,1,0,0,209,8.4
2020,M08,broker,home,11921,1393,77.8,780,30,28,17.7,25,1,0,1,233,8.4
2020,M09,broker,home,11777,1375,77.8,853,29,27,17.7,25,1,0,0,255,8.4
2020,M10,broker,home,12823,1512,77.8,867,32,30,17.7,25,1,0,0,259,8.4
2020,M11,broker,home,14271,1647,77.8,963,35,33,17.7,25,1,1,0,288,8.4
2020,M12,broker,home,15906,1840,77.8,1045,39,37,17.7,25,1,1,0,312,8.4
2020,Q1,broker,home,30883,3589,77.8,2156,76,72,17.7,25,2,1,0,645,8.4
2020,Q2,broker,home,30566,3630,77.8,2263,77,73,17.7,25,3,1,0,677,8.4
2020,Q3,broker,home,34034,4006,77.8,2331,85,81,17.7,25,3,1,1,697,8.4
2020,Q4,broker,home,42184,4999,77.8,2875,107,101,17.7,25,3,2,0,860,8.4
2020,FY,broker,home,137346,16224,77.8,9625,346,328,17.7,25,11,5,1,2878,8.4
2020,M01,broker,life,4949,584,79.4,1296,4,4,39.7,25,0,0,0,388,8.4
2020,M02,broker,life,4814,574,79.4,1352,4,4,39.7,25,0,0,0,404,8.4
2020,M03,broker,life,6225,721,79.4,1562,5,5,39.7,25,0,0,0,467,8.4
2020,M04,broker,life,5240,619,79.4,1351,5,5,39.7,25,0,0,0,404,8.4
