id,ts,user_id,conversation_id,trace_id,event_type,payload_json
1,2026-06-02T04:45:38+00:00,smoke_user,,,supervisor.route,"{""route"": ""rag"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
2,2026-06-02T04:45:43+00:00,smoke_user,,,rag.retrieve,"{""where"": {""year"": 2024}, ""k"": 5, ""reformulated_query"": ""What is the refund period according to the 2024 customer guidelines?"", ""sources"": [""Enhanced_Customer_Guidelines_2024.pdf""]}"
3,2026-06-02T04:45:58+00:00,smoke_user,,,rag.answer,"{""retry_count"": 0, ""answer_chars"": 307, ""duration_s"": 14.671, ""target_year"": 2024}"
4,2026-06-02T04:46:04+00:00,smoke_user,,,validator.judge,"{""grounded"": true, ""citations_ok"": true, ""critique"": ""Answer accurately reflects the context."", ""retry_count"": 0, ""terminal"": true}"
5,2026-06-02T04:46:05+00:00,smoke_user,,,supervisor.route,"{""route"": ""rag"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
6,2026-06-02T04:46:11+00:00,smoke_user,,,rag.retrieve,"{""where"": {""year"": 2024}, ""k"": 5, ""reformulated_query"": ""What are the procedures for handling suspected theft incidents according to the 2024 customer guidelines?"", ""sources"": [""Enhanced_Customer_Guidelines_2024.pdf""]}"
7,2026-06-02T04:46:40+00:00,smoke_user,,,rag.answer,"{""retry_count"": 0, ""answer_chars"": 870, ""duration_s"": 28.911, ""target_year"": 2024}"
8,2026-06-02T04:46:46+00:00,smoke_user,,,validator.judge,"{""grounded"": true, ""citations_ok"": true, ""critique"": ""Answer accurately reflects the context."", ""retry_count"": 0, ""terminal"": true}"
9,2026-06-02T04:46:48+00:00,smoke_user,,,supervisor.route,"{""route"": ""rag"", ""target_year"": 2020, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
10,2026-06-02T04:46:54+00:00,smoke_user,,,rag.retrieve,"{""where"": {""year"": 2020}, ""k"": 0, ""reformulated_query"": ""How should a claim for a refund be processed under the 2020 policy when there is no receipt but a bank transaction is available?"", ""sources"": []}"
11,2026-06-02T04:47:14+00:00,smoke_user,,,rag.answer,"{""retry_count"": 0, ""answer_chars"": 686, ""duration_s"": 19.706, ""target_year"": 2020}"
12,2026-06-02T04:47:18+00:00,smoke_user,,,validator.judge,"{""grounded"": false, ""citations_ok"": false, ""critique"": ""No context provided to support the answer."", ""retry_count"": 0, ""terminal"": false}"
13,2026-06-02T04:47:20+00:00,smoke_user,,,supervisor.route,"{""route"": ""report"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
14,2026-06-02T04:49:26+00:00,smoke_user,,,report.generate,"{""kind"": ""executive"", ""year"": 2024, ""report_run_id"": ""4c9b2df6b4f5"", ""kpi_csv_sha256"": ""362326717019"", ""generated_on"": ""2026-06-02"", ""kpi_count"": 8, ""trend_chart_count"": 5, ""risk_severity_counts"": {""green"": 4, ""amber"": 0, ""red"": 1}, ""recommendation_count"": 3, ""appendix_chunk_count"": 6}"
15,2026-06-02T04:49:28+00:00,smoke_user,,,supervisor.route,"{""route"": ""needs_clarification"", ""target_year"": null, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": ""year_missing""}"
16,2026-06-02T04:49:32+00:00,smoke_user,,,clarifier.ask,"{""reason"": ""year_missing"", ""question"": ""Which year applies - 2020, 2021, 2022, or 2024?"", ""original_question_preview"": ""What is the refund window?"", ""covered_years"": [2020, 2021, 2022, 2024]}"
17,2026-06-02T04:49:33+00:00,smoke_user,,,supervisor.route,"{""route"": ""rag"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
18,2026-06-02T04:49:39+00:00,smoke_user,,,rag.retrieve,"{""where"": {""year"": 2024}, ""k"": 5, ""reformulated_query"": ""What is the 2024 refund window for insurance policies?"", ""sources"": [""Enhanced_Customer_Guidelines_2024.pdf""]}"
19,2026-06-02T04:49:53+00:00,smoke_user,,,rag.answer,"{""retry_count"": 0, ""answer_chars"": 285, ""duration_s"": 14.442, ""target_year"": 2024}"
20,2026-06-02T04:49:59+00:00,smoke_user,,,validator.judge,"{""grounded"": true, ""citations_ok"": true, ""critique"": ""Answer accurately reflects the context."", ""retry_count"": 0, ""terminal"": true}"
21,2026-06-02T04:49:59+00:00,smoke_user,,,supervisor.route,"{""route"": ""out_of_year"", ""target_year"": 2023, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02""}"
22,2026-06-02T04:49:59+00:00,smoke_user,,,year_fallback,"{""requested"": 2023, ""offered"": [2022, 2024], ""covered_years"": [2020, 2021, 2022, 2024]}"
23,2026-06-02T04:50:01+00:00,smoke_user,,,supervisor.route,"{""route"": ""out_of_scope"", ""target_year"": null, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
24,2026-06-02T04:50:01+00:00,smoke_user,,,decline.canned,"{""reason"": ""out_of_scope""}"
25,2026-06-02T04:50:03+00:00,smoke_user,,,supervisor.route,"{""route"": ""data"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
26,2026-06-02T04:50:10+00:00,smoke_user,,,data.plan,"{""ok"": true, ""operation"": {""metric"": ""gross_written_premium_eur"", ""filters"": {""year"": [2024], ""period"": null, ""channel"": null, ""product_line"": null}, ""group_by"": [], ""aggregation"": ""sum"", ""compare_to"": null, ""sort_by"": null, ""limit"": null}, ""drilldown"": false}"
27,2026-06-02T04:50:10+00:00,smoke_user,,,data.execute,"{""ok"": true, ""row_count"": 1, ""duration_s"": 0.008, ""csv_sha256"": ""3623267170196b2851d6df2ed41ee182533bc1428c9f4a6729098f02b777683a"", ""metric"": ""gross_written_premium_eur"", ""aggregation"": ""sum""}"
28,2026-06-02T04:50:12+00:00,smoke_user,,,supervisor.route,"{""route"": ""data"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
29,2026-06-02T04:50:22+00:00,smoke_user,,,data.plan,"{""ok"": true, ""operation"": {""metric"": ""renewal_rate_pct"", ""filters"": {""year"": [2024], ""period"": null, ""channel"": [""Agency"", ""Bancassurance"", ""Direct""], ""product_line"": null}, ""group_by"": [""channel""], ""aggregation"": ""weighted_mean"", ""compare_to"": null, ""sort_by"": null, ""limit"": null}, ""drilldown"": false}"
30,2026-06-02T04:50:23+00:00,smoke_user,,,data.execute,"{""ok"": true, ""row_count"": 3, ""duration_s"": 0.069, ""csv_sha256"": ""3623267170196b2851d6df2ed41ee182533bc1428c9f4a6729098f02b777683a"", ""metric"": ""renewal_rate_pct"", ""aggregation"": ""weighted_mean""}"
31,2026-06-02T04:50:24+00:00,smoke_user,,,supervisor.route,"{""route"": ""data"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
32,2026-06-02T04:50:30+00:00,smoke_user,,,data.plan,"{""ok"": true, ""operation"": {""metric"": ""digital_adoption_pct"", ""filters"": {""year"": null, ""period"": null, ""channel"": null, ""product_line"": null}, ""group_by"": [""product_line""], ""aggregation"": ""weighted_mean"", ""compare_to"": null, ""sort_by"": null, ""limit"": null}, ""drilldown"": false}"
33,2026-06-02T04:50:30+00:00,smoke_user,,,data.execute,"{""ok"": true, ""row_count"": 4, ""duration_s"": 0.053, ""csv_sha256"": ""3623267170196b2851d6df2ed41ee182533bc1428c9f4a6729098f02b777683a"", ""metric"": ""digital_adoption_pct"", ""aggregation"": ""weighted_mean""}"
34,2026-06-02T04:50:32+00:00,smoke_user,,,supervisor.route,"{""route"": ""data"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
